Sr. No,Date Time,Slots occupied,Target,Parking Availability,Car Type
511,02-01-2024 09:30,125,41.67%,Yes,SUV
512,02-01-2024 09:33,109,36.33%,Yes,SUV
513,02-01-2024 09:36,93,31.00%,Yes,SUV
514,02-01-2024 09:39,77,25.67%,Yes,SUV
515,02-01-2024 09:42,61,20.33%,Yes,SUV
516,02-01-2024 09:45,45,15.00%,No,SUV
517,02-01-2024 09:48,29,9.67%,No,SUV
518,02-01-2024 09:51,13,4.33%,No,SUV
519,02-01-2024 09:54,5,1.67%,No,SUV
520,02-01-2024 09:57,0,0.00%,No,SUV
521,02-01-2024 10:00,0,0.00%,No,SUV
522,02-01-2024 10:03,0,0.00%,No,SUV
523,02-01-2024 10:06,0,0.00%,No,SUV
524,02-01-2024 10:09,0,0.00%,No,SUV
525,02-01-2024 10:12,0,0.00%,No,SUV
526,02-01-2024 10:15,0,0.00%,No,SUV
527,02-01-2024 10:18,0,0.00%,No,SUV
528,02-01-2024 10:21,0,0.00%,No,SUV
529,02-01-2024 10:24,0,0.00%,No,SUV
530,02-01-2024 10:27,0,0.00%,No,SUV
531,02-01-2024 10:30,0,0.00%,No,SUV
532,02-01-2024 10:33,0,0.00%,No,SUV
533,02-01-2024 10:36,0,0.00%,No,SUV
534,02-01-2024 10:39,0,0.00%,No,SUV
535,02-01-2024 10:42,0,0.00%,No,SUV
536,02-01-2024 10:45,0,0.00%,No,SUV
537,02-01-2024 10:48,0,0.00%,No,SUV
538,02-01-2024 10:51,0,0.00%,No,SUV
539,02-01-2024 10:54,0,0.00%,No,SUV
540,02-01-2024 10:57,0,0.00%,No,SUV
541,02-01-2024 11:00,0,0.00%,No,SUV
542,02-01-2024 11:03,0,0.00%,No,SUV
543,02-01-2024 11:06,0,0.00%,No,SUV
544,02-01-2024 11:09,0,0.00%,No,SUV
545,02-01-2024 11:12,0,0.00%,No,SUV
546,02-01-2024 11:15,0,0.00%,No,SUV
547,02-01-2024 11:18,0,0.00%,No,SUV
548,02-01-2024 11:21,0,0.00%,No,SUV
549,02-01-2024 11:24,0,0.00%,No,SUV
550,02-01-2024 11:27,0,0.00%,No,SUV
551,02-01-2024 11:30,0,0.00%,No,SUV
552,02-01-2024 11:33,0,0.00%,No,SUV
553,02-01-2024 11:36,0,0.00%,No,SUV
554,02-01-2024 11:39,0,0.00%,No,SUV
555,02-01-2024 11:42,0,0.00%,No,SUV
556,02-01-2024 11:45,0,0.00%,No,SUV
557,02-01-2024 11:48,0,0.00%,No,SUV
558,02-01-2024 11:51,0,0.00%,No,SUV
559,02-01-2024 11:54,0,0.00%,No,SUV
560,02-01-2024 11:57,0,0.00%,No,SUV
561,02-01-2024 12:00,0,0.00%,No,SUV
562,02-01-2024 12:03,0,0.00%,No,SUV
563,02-01-2024 12:06,0,0.00%,No,SUV
564,02-01-2024 12:09,0,0.00%,No,SUV
565,02-01-2024 12:12,0,0.00%,No,SUV
566,02-01-2024 12:15,0,0.00%,No,SUV
567,02-01-2024 12:18,0,0.00%,No,SUV
568,02-01-2024 12:21,0,0.00%,No,SUV
569,02-01-2024 12:24,0,0.00%,No,SUV
570,02-01-2024 12:27,0,0.00%,No,SUV
571,02-01-2024 12:30,0,0.00%,No,SUV
572,02-01-2024 12:33,0,0.00%,No,SUV
573,02-01-2024 12:36,0,0.00%,No,SUV
574,02-01-2024 12:39,0,0.00%,No,SUV
575,02-01-2024 12:42,0,0.00%,No,SUV
576,02-01-2024 12:45,0,0.00%,No,SUV
577,02-01-2024 12:48,0,0.00%,No,SUV
578,02-01-2024 12:51,0,0.00%,No,SUV
579,02-01-2024 12:54,0,0.00%,No,SUV
580,02-01-2024 12:57,0,0.00%,No,SUV
581,02-01-2024 13:00,0,0.00%,No,SUV
582,02-01-2024 13:03,0,0.00%,No,SUV
583,02-01-2024 13:06,0,0.00%,No,SUV
584,02-01-2024 13:09,0,0.00%,No,SUV
585,02-01-2024 13:12,0,0.00%,No,SUV
586,02-01-2024 13:15,0,0.00%,No,SUV
587,02-01-2024 13:18,0,0.00%,No,SUV
588,02-01-2024 13:21,0,0.00%,No,SUV
589,02-01-2024 13:24,0,0.00%,No,SUV
590,02-01-2024 13:27,0,0.00%,No,SUV
591,02-01-2024 13:30,0,0.00%,No,SUV
592,02-01-2024 13:33,0,0.00%,No,SUV
593,02-01-2024 13:36,0,0.00%,No,SUV
594,02-01-2024 13:39,0,0.00%,No,SUV
595,02-01-2024 13:42,0,0.00%,No,SUV
596,02-01-2024 13:45,0,0.00%,No,SUV
597,02-01-2024 13:48,0,0.00%,No,SUV
598,02-01-2024 13:51,0,0.00%,No,SUV
599,02-01-2024 13:54,0,0.00%,No,SUV
600,02-01-2024 13:57,0,0.00%,No,SUV
601,02-01-2024 14:00,0,0.00%,No,SUV
602,02-01-2024 14:03,0,0.00%,No,SUV
603,02-01-2024 14:06,0,0.00%,No,SUV
604,02-01-2024 14:09,0,0.00%,No,SUV
605,02-01-2024 14:12,0,0.00%,No,SUV
606,02-01-2024 14:15,0,0.00%,No,SUV
607,02-01-2024 14:18,0,0.00%,No,SUV
608,02-01-2024 14:21,0,0.00%,No,SUV
609,02-01-2024 14:24,0,0.00%,No,SUV
610,02-01-2024 14:27,0,0.00%,No,SUV
611,02-01-2024 14:30,0,0.00%,No,SUV
612,02-01-2024 14:33,0,0.00%,No,SUV
613,02-01-2024 14:36,0,0.00%,No,SUV
614,02-01-2024 14:39,0,0.00%,No,SUV
615,02-01-2024 14:42,0,0.00%,No,SUV
616,02-01-2024 14:45,0,0.00%,No,SUV
617,02-01-2024 14:48,0,0.00%,No,SUV
618,02-01-2024 14:51,0,0.00%,No,SUV
619,02-01-2024 14:54,0,0.00%,No,SUV
620,02-01-2024 14:57,0,0.00%,No,SUV
621,02-01-2024 15:00,0,0.00%,No,SUV
622,02-01-2024 15:03,0,0.00%,No,SUV
623,02-01-2024 15:06,0,0.00%,No,SUV
624,02-01-2024 15:09,0,0.00%,No,SUV
625,02-01-2024 15:12,0,0.00%,No,SUV
626,02-01-2024 15:15,0,0.00%,No,SUV
627,02-01-2024 15:18,0,0.00%,No,SUV
628,02-01-2024 15:21,0,0.00%,No,SUV
629,02-01-2024 15:24,0,0.00%,No,SUV
630,02-01-2024 15:27,0,0.00%,No,SUV
631,02-01-2024 15:30,0,0.00%,No,SUV
632,02-01-2024 15:33,0,0.00%,No,SUV
633,02-01-2024 15:36,0,0.00%,No,SUV
634,02-01-2024 15:39,0,0.00%,No,SUV
635,02-01-2024 15:42,0,0.00%,No,SUV
636,02-01-2024 15:45,0,0.00%,No,SUV
637,02-01-2024 15:48,0,0.00%,No,SUV
638,02-01-2024 15:51,0,0.00%,No,SUV
639,02-01-2024 15:54,0,0.00%,No,SUV
640,02-01-2024 15:57,0,0.00%,No,SUV
641,02-01-2024 16:00,0,0.00%,No,SUV
642,02-01-2024 16:03,0,0.00%,No,SUV
643,02-01-2024 16:06,0,0.00%,No,SUV
644,02-01-2024 16:09,0,0.00%,No,SUV
645,02-01-2024 16:12,0,0.00%,No,SUV
646,02-01-2024 16:15,0,0.00%,No,SUV
647,02-01-2024 16:18,0,0.00%,No,SUV
648,02-01-2024 16:21,0,0.00%,No,SUV
649,02-01-2024 16:24,0,0.00%,No,SUV
650,02-01-2024 16:27,0,0.00%,No,SUV
651,02-01-2024 16:30,0,0.00%,No,SUV
652,02-01-2024 16:33,0,0.00%,No,SUV
653,02-01-2024 16:36,0,0.00%,No,SUV
654,02-01-2024 16:39,0,0.00%,No,SUV
655,02-01-2024 16:42,0,0.00%,No,SUV
656,02-01-2024 16:45,0,0.00%,No,SUV
657,02-01-2024 16:48,0,0.00%,No,SUV
658,02-01-2024 16:51,0,0.00%,No,SUV
659,02-01-2024 16:54,0,0.00%,No,SUV
660,02-01-2024 16:57,0,0.00%,No,SUV
661,02-01-2024 17:00,0,0.00%,No,SUV
662,02-01-2024 17:03,0,0.00%,No,SUV
663,02-01-2024 17:06,0,0.00%,No,SUV
664,02-01-2024 17:09,0,0.00%,No,SUV
665,02-01-2024 17:12,0,0.00%,No,SUV
666,02-01-2024 17:15,0,0.00%,No,SUV
667,02-01-2024 17:18,0,0.00%,No,SUV
668,02-01-2024 17:21,0,0.00%,No,SUV
669,02-01-2024 17:24,0,0.00%,No,SUV
670,02-01-2024 17:27,0,0.00%,No,SUV
671,02-01-2024 17:30,0,0.00%,No,SUV
672,02-01-2024 17:33,0,0.00%,No,SUV
673,02-01-2024 17:36,0,0.00%,No,SUV
674,02-01-2024 17:39,0,0.00%,No,SUV
675,02-01-2024 17:42,0,0.00%,No,SUV
676,02-01-2024 17:45,0,0.00%,No,SUV
677,02-01-2024 17:48,0,0.00%,No,SUV
678,02-01-2024 17:51,0,0.00%,No,SUV
679,02-01-2024 17:54,0,0.00%,No,SUV
680,02-01-2024 17:57,0,0.00%,No,SUV
681,02-01-2024 18:00,0,0.00%,No,SUV
682,02-01-2024 18:03,0,0.00%,No,SUV
683,02-01-2024 18:06,0,0.00%,No,SUV
684,02-01-2024 18:09,0,0.00%,No,SUV
685,02-01-2024 18:12,0,0.00%,No,SUV
686,02-01-2024 18:15,0,0.00%,No,SUV
687,02-01-2024 18:18,0,0.00%,No,SUV
688,02-01-2024 18:21,0,0.00%,No,SUV
689,02-01-2024 18:24,0,0.00%,No,SUV
690,02-01-2024 18:27,0,0.00%,No,SUV
691,02-01-2024 18:30,0,0.00%,No,SUV
692,02-01-2024 18:33,0,0.00%,No,SUV
693,02-01-2024 18:36,0,0.00%,No,SUV
694,02-01-2024 18:39,0,0.00%,No,SUV
695,02-01-2024 18:42,0,0.00%,No,SUV
696,02-01-2024 18:45,0,0.00%,No,SUV
697,02-01-2024 18:48,0,0.00%,No,SUV
698,02-01-2024 18:51,0,0.00%,No,SUV
699,02-01-2024 18:54,0,0.00%,No,SUV
700,02-01-2024 18:57,0,0.00%,No,SUV
701,02-01-2024 19:00,0,0.00%,No,SUV
702,02-01-2024 19:03,300,100.00%,Yes,SUV
703,02-01-2024 19:06,300,100.00%,Yes,SUV
704,02-01-2024 19:09,300,100.00%,Yes,SUV
705,02-01-2024 19:12,300,100.00%,Yes,SUV
706,02-01-2024 19:15,300,100.00%,Yes,SUV
707,02-01-2024 19:18,300,100.00%,Yes,SUV
708,02-01-2024 19:21,300,100.00%,Yes,SUV
709,02-01-2024 19:24,300,100.00%,Yes,SUV
710,02-01-2024 19:27,300,100.00%,Yes,SUV
711,02-01-2024 19:30,300,100.00%,Yes,SUV
712,02-01-2024 19:33,300,100.00%,Yes,SUV
713,02-01-2024 19:36,300,100.00%,Yes,SUV
714,02-01-2024 19:39,300,100.00%,Yes,SUV
715,02-01-2024 19:42,300,100.00%,Yes,SUV
716,02-01-2024 19:45,300,100.00%,Yes,SUV
717,02-01-2024 19:48,300,100.00%,Yes,SUV
718,02-01-2024 19:51,300,100.00%,Yes,SUV
719,02-01-2024 19:54,300,100.00%,Yes,SUV
720,02-01-2024 19:57,300,100.00%,Yes,SUV
721,02-01-2024 20:00,300,100.00%,Yes,SUV
722,02-01-2024 20:03,300,100.00%,Yes,SUV
723,02-01-2024 20:06,300,100.00%,Yes,SUV
724,02-01-2024 20:09,300,100.00%,Yes,SUV
725,02-01-2024 20:12,300,100.00%,Yes,SUV
726,02-01-2024 20:15,300,100.00%,Yes,SUV
727,02-01-2024 20:18,300,100.00%,Yes,SUV
728,02-01-2024 20:21,300,100.00%,Yes,SUV
729,02-01-2024 20:24,300,100.00%,Yes,SUV
730,02-01-2024 20:27,300,100.00%,Yes,SUV
731,02-01-2024 20:30,300,100.00%,Yes,SUV
732,02-01-2024 20:33,300,100.00%,Yes,SUV
733,02-01-2024 20:36,300,100.00%,Yes,SUV
734,02-01-2024 20:39,300,100.00%,Yes,SUV
735,02-01-2024 20:42,300,100.00%,Yes,SUV
736,02-01-2024 20:45,300,100.00%,Yes,SUV
737,02-01-2024 20:48,300,100.00%,Yes,SUV
738,02-01-2024 20:51,300,100.00%,Yes,SUV
739,02-01-2024 20:54,300,100.00%,Yes,SUV
740,02-01-2024 20:57,300,100.00%,Yes,SUV
741,02-01-2024 21:00,300,100.00%,Yes,SUV
742,02-01-2024 21:03,300,100.00%,Yes,SUV
743,02-01-2024 21:06,300,100.00%,Yes,SUV
744,02-01-2024 21:09,300,100.00%,Yes,SUV
745,02-01-2024 21:12,300,100.00%,Yes,SUV
746,02-01-2024 21:15,300,100.00%,Yes,SUV
747,02-01-2024 21:18,300,100.00%,Yes,SUV
748,02-01-2024 21:21,300,100.00%,Yes,SUV
749,02-01-2024 21:24,300,100.00%,Yes,SUV
750,02-01-2024 21:27,300,100.00%,Yes,SUV
751,02-01-2024 21:30,300,100.00%,Yes,SUV
752,02-01-2024 21:33,300,100.00%,Yes,SUV
753,02-01-2024 21:36,300,100.00%,Yes,SUV
754,02-01-2024 21:39,300,100.00%,Yes,SUV
755,02-01-2024 21:42,300,100.00%,Yes,SUV
756,02-01-2024 21:45,300,100.00%,Yes,SUV
757,02-01-2024 21:48,300,100.00%,Yes,SUV
758,02-01-2024 21:51,300,100.00%,Yes,SUV
759,02-01-2024 21:54,300,100.00%,Yes,SUV
760,02-01-2024 21:57,300,100.00%,Yes,SUV
761,02-01-2024 22:00,300,100.00%,Yes,SUV
762,02-01-2024 22:03,300,100.00%,Yes,SUV
763,02-01-2024 22:06,300,100.00%,Yes,SUV
764,02-01-2024 22:09,300,100.00%,Yes,SUV
765,02-01-2024 22:12,300,100.00%,Yes,SUV
766,02-01-2024 22:15,300,100.00%,Yes,SUV
767,02-01-2024 22:18,300,100.00%,Yes,SUV
768,02-01-2024 22:21,300,100.00%,Yes,SUV
769,02-01-2024 22:24,300,100.00%,Yes,SUV
770,02-01-2024 22:27,300,100.00%,Yes,SUV
771,02-01-2024 22:30,300,100.00%,Yes,SUV
772,02-01-2024 22:33,300,100.00%,Yes,SUV
773,02-01-2024 22:36,300,100.00%,Yes,SUV
774,02-01-2024 22:39,300,100.00%,Yes,SUV
775,02-01-2024 22:42,300,100.00%,Yes,SUV
776,02-01-2024 22:45,300,100.00%,Yes,SUV
777,02-01-2024 22:48,300,100.00%,Yes,SUV
778,02-01-2024 22:51,300,100.00%,Yes,SUV
779,02-01-2024 22:54,300,100.00%,Yes,SUV
780,02-01-2024 22:57,300,100.00%,Yes,SUV
781,02-01-2024 23:00,300,100.00%,Yes,SUV
782,02-01-2024 23:03,300,100.00%,Yes,SUV
783,02-01-2024 23:06,300,100.00%,Yes,SUV
784,02-01-2024 23:09,300,100.00%,Yes,SUV
785,02-01-2024 23:12,300,100.00%,Yes,SUV
786,02-01-2024 23:15,300,100.00%,Yes,SUV
787,02-01-2024 23:18,300,100.00%,Yes,SUV
788,02-01-2024 23:21,300,100.00%,Yes,SUV
789,02-01-2024 23:24,300,100.00%,Yes,SUV
790,02-01-2024 23:27,300,100.00%,Yes,SUV
791,02-01-2024 23:30,300,100.00%,Yes,SUV
792,02-01-2024 23:33,300,100.00%,Yes,SUV
793,02-01-2024 23:36,300,100.00%,Yes,SUV
794,02-01-2024 23:39,300,100.00%,Yes,SUV
795,02-01-2024 23:42,300,100.00%,Yes,SUV
796,02-01-2024 23:45,300,100.00%,Yes,SUV
797,02-01-2024 23:48,300,100.00%,Yes,SUV
798,02-01-2024 23:51,300,100.00%,Yes,SUV
799,02-01-2024 23:54,300,100.00%,Yes,SUV
800,02-01-2024 23:57,300,100.00%,Yes,SUV
801,03-01-2024 00:00,300,100.00%,Yes,SUV
802,03-01-2024 00:03,300,100.00%,Yes,SUV
803,03-01-2024 00:06,300,100.00%,Yes,SUV
804,03-01-2024 00:09,300,100.00%,Yes,SUV
805,03-01-2024 00:12,300,100.00%,Yes,SUV
806,03-01-2024 00:15,300,100.00%,Yes,SUV
807,03-01-2024 00:18,300,100.00%,Yes,SUV
808,03-01-2024 00:21,300,100.00%,Yes,SUV
809,03-01-2024 00:24,300,100.00%,Yes,SUV
810,03-01-2024 00:27,300,100.00%,Yes,SUV
811,03-01-2024 00:30,300,100.00%,Yes,SUV
812,03-01-2024 00:33,300,100.00%,Yes,SUV
813,03-01-2024 00:36,300,100.00%,Yes,SUV
814,03-01-2024 00:39,300,100.00%,Yes,SUV
815,03-01-2024 00:42,300,100.00%,Yes,SUV
816,03-01-2024 00:45,300,100.00%,Yes,SUV
817,03-01-2024 00:48,300,100.00%,Yes,SUV
818,03-01-2024 00:51,300,100.00%,Yes,SUV
819,03-01-2024 00:54,300,100.00%,Yes,SUV
820,03-01-2024 00:57,300,100.00%,Yes,SUV
821,03-01-2024 01:00,300,100.00%,Yes,SUV
822,03-01-2024 01:03,300,100.00%,Yes,SUV
823,03-01-2024 01:06,300,100.00%,Yes,SUV
824,03-01-2024 01:09,300,100.00%,Yes,SUV
825,03-01-2024 01:12,300,100.00%,Yes,SUV
826,03-01-2024 01:15,300,100.00%,Yes,SUV
827,03-01-2024 01:18,300,100.00%,Yes,SUV
828,03-01-2024 01:21,300,100.00%,Yes,SUV
829,03-01-2024 01:24,300,100.00%,Yes,SUV
830,03-01-2024 01:27,300,100.00%,Yes,SUV
831,03-01-2024 01:30,300,100.00%,Yes,SUV
832,03-01-2024 01:33,300,100.00%,Yes,SUV
833,03-01-2024 01:36,300,100.00%,Yes,SUV
834,03-01-2024 01:39,300,100.00%,Yes,SUV
835,03-01-2024 01:42,300,100.00%,Yes,SUV
836,03-01-2024 01:45,300,100.00%,Yes,SUV
837,03-01-2024 01:48,300,100.00%,Yes,SUV
838,03-01-2024 01:51,300,100.00%,Yes,SUV
839,03-01-2024 01:54,300,100.00%,Yes,SUV
840,03-01-2024 01:57,300,100.00%,Yes,SUV
841,03-01-2024 02:00,300,100.00%,Yes,SUV
842,03-01-2024 02:03,300,100.00%,Yes,SUV
843,03-01-2024 02:06,300,100.00%,Yes,SUV
844,03-01-2024 02:09,300,100.00%,Yes,SUV
845,03-01-2024 02:12,300,100.00%,Yes,SUV
846,03-01-2024 02:15,300,100.00%,Yes,SUV
847,03-01-2024 02:18,300,100.00%,Yes,SUV
848,03-01-2024 02:21,300,100.00%,Yes,SUV
849,03-01-2024 02:24,300,100.00%,Yes,SUV
850,03-01-2024 02:27,300,100.00%,Yes,SUV
851,03-01-2024 02:30,300,100.00%,Yes,SUV
852,03-01-2024 02:33,300,100.00%,Yes,SUV
853,03-01-2024 02:36,300,100.00%,Yes,SUV
854,03-01-2024 02:39,300,100.00%,Yes,SUV
855,03-01-2024 02:42,300,100.00%,Yes,SUV
856,03-01-2024 02:45,300,100.00%,Yes,SUV
857,03-01-2024 02:48,300,100.00%,Yes,SUV
858,03-01-2024 02:51,300,100.00%,Yes,SUV
859,03-01-2024 02:54,300,100.00%,Yes,SUV
860,03-01-2024 02:57,300,100.00%,Yes,SUV
861,03-01-2024 03:00,300,100.00%,Yes,SUV
862,03-01-2024 03:03,300,100.00%,Yes,SUV
863,03-01-2024 03:06,300,100.00%,Yes,SUV
864,03-01-2024 03:09,300,100.00%,Yes,SUV
865,03-01-2024 03:12,300,100.00%,Yes,SUV
866,03-01-2024 03:15,300,100.00%,Yes,SUV
867,03-01-2024 03:18,300,100.00%,Yes,SUV
868,03-01-2024 03:21,300,100.00%,Yes,SUV
869,03-01-2024 03:24,300,100.00%,Yes,SUV
870,03-01-2024 03:27,300,100.00%,Yes,SUV
871,03-01-2024 03:30,300,100.00%,Yes,SUV
872,03-01-2024 03:33,300,100.00%,Yes,SUV
873,03-01-2024 03:36,300,100.00%,Yes,SUV
874,03-01-2024 03:39,300,100.00%,Yes,SUV
875,03-01-2024 03:42,300,100.00%,Yes,SUV
876,03-01-2024 03:45,300,100.00%,Yes,SUV
877,03-01-2024 03:48,300,100.00%,Yes,SUV
878,03-01-2024 03:51,300,100.00%,Yes,SUV
879,03-01-2024 03:54,300,100.00%,Yes,SUV
880,03-01-2024 03:57,300,100.00%,Yes,SUV
881,03-01-2024 04:00,300,100.00%,Yes,SUV
882,03-01-2024 04:03,300,100.00%,Yes,SUV
883,03-01-2024 04:06,300,100.00%,Yes,SUV
884,03-01-2024 04:09,300,100.00%,Yes,SUV
885,03-01-2024 04:12,300,100.00%,Yes,SUV
886,03-01-2024 04:15,300,100.00%,Yes,SUV
887,03-01-2024 04:18,300,100.00%,Yes,SUV
888,03-01-2024 04:21,300,100.00%,Yes,SUV
889,03-01-2024 04:24,300,100.00%,Yes,SUV
890,03-01-2024 04:27,300,100.00%,Yes,SUV
891,03-01-2024 04:30,300,100.00%,Yes,SUV
892,03-01-2024 04:33,300,100.00%,Yes,SUV
893,03-01-2024 04:36,300,100.00%,Yes,SUV
894,03-01-2024 04:39,300,100.00%,Yes,SUV
895,03-01-2024 04:42,300,100.00%,Yes,SUV
896,03-01-2024 04:45,300,100.00%,Yes,SUV
897,03-01-2024 04:48,300,100.00%,Yes,SUV
898,03-01-2024 04:51,300,100.00%,Yes,SUV
899,03-01-2024 04:54,300,100.00%,Yes,SUV
900,03-01-2024 04:57,300,100.00%,Yes,SUV
901,03-01-2024 05:00,300,100.00%,Yes,SUV
902,03-01-2024 05:03,300,100.00%,Yes,SUV
903,03-01-2024 05:06,300,100.00%,Yes,SUV
904,03-01-2024 05:09,300,100.00%,Yes,SUV
905,03-01-2024 05:12,300,100.00%,Yes,SUV
906,03-01-2024 05:15,300,100.00%,Yes,SUV
907,03-01-2024 05:18,300,100.00%,Yes,SUV
908,03-01-2024 05:21,300,100.00%,Yes,SUV
909,03-01-2024 05:24,300,100.00%,Yes,SUV
910,03-01-2024 05:27,300,100.00%,Yes,SUV
911,03-01-2024 05:30,300,100.00%,Yes,SUV
912,03-01-2024 05:33,300,100.00%,Yes,SUV
913,03-01-2024 05:36,300,100.00%,Yes,SUV
914,03-01-2024 05:39,300,100.00%,Yes,SUV
915,03-01-2024 05:42,300,100.00%,Yes,SUV
916,03-01-2024 05:45,300,100.00%,Yes,SUV
917,03-01-2024 05:48,300,100.00%,Yes,SUV
918,03-01-2024 05:51,300,100.00%,Yes,SUV
919,03-01-2024 05:54,300,100.00%,Yes,SUV
920,03-01-2024 05:57,300,100.00%,Yes,SUV
921,03-01-2024 06:00,300,100.00%,Yes,SUV
922,03-01-2024 06:03,300,100.00%,Yes,SUV
923,03-01-2024 06:06,300,100.00%,Yes,SUV
924,03-01-2024 06:09,300,100.00%,Yes,SUV
925,03-01-2024 06:12,300,100.00%,Yes,SUV
926,03-01-2024 06:15,300,100.00%,Yes,SUV
927,03-01-2024 06:18,300,100.00%,Yes,SUV
928,03-01-2024 06:21,300,100.00%,Yes,SUV
929,03-01-2024 06:24,300,100.00%,Yes,SUV
930,03-01-2024 06:27,300,100.00%,Yes,SUV
931,03-01-2024 06:30,300,100.00%,Yes,SUV
932,03-01-2024 06:33,300,100.00%,Yes,SUV
933,03-01-2024 06:36,300,100.00%,Yes,SUV
934,03-01-2024 06:39,300,100.00%,Yes,SUV
935,03-01-2024 06:42,300,100.00%,Yes,SUV
936,03-01-2024 06:45,300,100.00%,Yes,SUV
937,03-01-2024 06:48,300,100.00%,Yes,SUV
938,03-01-2024 06:51,300,100.00%,Yes,SUV
939,03-01-2024 06:54,300,100.00%,Yes,SUV
940,03-01-2024 06:57,300,100.00%,Yes,SUV
941,03-01-2024 07:00,300,100.00%,Yes,SUV
942,03-01-2024 07:03,300,100.00%,Yes,SUV
943,03-01-2024 07:06,300,100.00%,Yes,SUV
944,03-01-2024 07:09,300,100.00%,Yes,SUV
945,03-01-2024 07:12,300,100.00%,Yes,SUV
946,03-01-2024 07:15,300,100.00%,Yes,SUV
947,03-01-2024 07:18,300,100.00%,Yes,SUV
948,03-01-2024 07:21,300,100.00%,Yes,SUV
949,03-01-2024 07:24,300,100.00%,Yes,SUV
950,03-01-2024 07:27,300,100.00%,Yes,SUV
951,03-01-2024 07:30,300,100.00%,Yes,SUV
952,03-01-2024 07:33,300,100.00%,Yes,SUV
953,03-01-2024 07:36,300,100.00%,Yes,SUV
954,03-01-2024 07:39,300,100.00%,Yes,SUV
955,03-01-2024 07:42,300,100.00%,Yes,SUV
956,03-01-2024 07:45,300,100.00%,Yes,SUV
957,03-01-2024 07:48,300,100.00%,Yes,SUV
958,03-01-2024 07:51,300,100.00%,Yes,SUV
959,03-01-2024 07:54,300,100.00%,Yes,SUV
960,03-01-2024 07:57,300,100.00%,Yes,SUV
961,03-01-2024 08:00,300,100.00%,Yes,SUV
962,03-01-2024 08:03,300,100.00%,Yes,SUV
963,03-01-2024 08:06,300,100.00%,Yes,SUV
964,03-01-2024 08:09,300,100.00%,Yes,SUV
965,03-01-2024 08:12,300,100.00%,Yes,SUV
966,03-01-2024 08:15,300,100.00%,Yes,SUV
967,03-01-2024 08:18,300,100.00%,Yes,SUV
968,03-01-2024 08:21,300,100.00%,Yes,SUV
969,03-01-2024 08:24,300,100.00%,Yes,SUV
970,03-01-2024 08:27,300,100.00%,Yes,SUV
971,03-01-2024 08:30,300,100.00%,Yes,SUV
972,03-01-2024 08:33,300,100.00%,Yes,SUV
973,03-01-2024 08:36,300,100.00%,Yes,SUV
974,03-01-2024 08:39,300,100.00%,Yes,SUV
975,03-01-2024 08:42,295,98.33%,Yes,SUV
976,03-01-2024 08:45,294,98.00%,Yes,SUV
977,03-01-2024 08:48,293,97.67%,Yes,SUV
978,03-01-2024 08:51,292,97.33%,Yes,SUV
979,03-01-2024 08:54,291,97.00%,Yes,SUV
980,03-01-2024 08:57,290,96.67%,Yes,SUV
981,03-01-2024 09:00,290,96.67%,Yes,SUV
982,03-01-2024 09:03,270,90.00%,Yes,SUV
983,03-01-2024 09:06,250,83.33%,Yes,SUV
984,03-01-2024 09:09,240,80.00%,Yes,SUV
985,03-01-2024 09:12,220,73.33%,Yes,SUV
986,03-01-2024 09:15,205,68.33%,Yes,SUV
987,03-01-2024 09:18,189,63.00%,Yes,SUV
988,03-01-2024 09:21,173,57.67%,Yes,SUV
989,03-01-2024 09:24,157,52.33%,Yes,SUV
990,03-01-2024 09:27,141,47.00%,Yes,SUV
991,03-01-2024 09:30,125,41.67%,Yes,SUV
992,03-01-2024 09:33,109,36.33%,Yes,SUV
993,03-01-2024 09:36,93,31.00%,Yes,SUV
994,03-01-2024 09:39,77,25.67%,Yes,SUV
995,03-01-2024 09:42,61,20.33%,Yes,SUV
996,03-01-2024 09:45,45,15.00%,No,SUV
997,03-01-2024 09:48,29,9.67%,No,SUV
998,03-01-2024 09:51,13,4.33%,No,SUV
999,03-01-2024 09:54,5,1.67%,No,SUV
1000,03-01-2024 09:57,0,0.00%,No,SUV
1001,03-01-2024 10:00,0,0.00%,No,SUV
1002,03-01-2024 10:03,0,0.00%,No,SUV
1003,03-01-2024 10:06,0,0.00%,No,SUV
1004,03-01-2024 10:09,0,0.00%,No,SUV
1005,03-01-2024 10:12,0,0.00%,No,SUV
1006,03-01-2024 10:15,0,0.00%,No,SUV
1007,03-01-2024 10:18,0,0.00%,No,SUV
1008,03-01-2024 10:21,0,0.00%,No,SUV
1009,03-01-2024 10:24,0,0.00%,No,SUV
1010,03-01-2024 10:27,0,0.00%,No,SUV
1011,03-01-2024 10:30,0,0.00%,No,SUV
1012,03-01-2024 10:33,0,0.00%,No,SUV
1013,03-01-2024 10:36,0,0.00%,No,SUV
1014,03-01-2024 10:39,0,0.00%,No,SUV
1015,03-01-2024 10:42,0,0.00%,No,SUV
1016,03-01-2024 10:45,0,0.00%,No,SUV
1017,03-01-2024 10:48,0,0.00%,No,SUV
1018,03-01-2024 10:51,0,0.00%,No,SUV
1019,03-01-2024 10:54,0,0.00%,No,SUV
1020,03-01-2024 10:57,0,0.00%,No,SUV
1021,03-01-2024 11:00,0,0.00%,No,SUV
1022,03-01-2024 11:03,0,0.00%,No,SUV
1023,03-01-2024 11:06,0,0.00%,No,SUV
